Item Name,Weight,Value,Special Rules,Rarity,Page #
Cursed Coin,N/A,1,Negates the Effects of Voodoo Dolls,Extremely Rare,346
Badge,0.5,5,1 Bluff/Intim/Nego/Seduce,Uncommon,346
Eye Glasses,1,5,N/A,Common,346
Eye Patch,0.5,5,2 Bluff/Intim,Common,347
Scarf,0.5,5,2 Cold Resist,Common,347
Fancy Scarf,0.5,15,1 Bluff/Intim/Nego/Seduce,Uncommon,347
Monocle,1,15,2 Nego/Seduce,Uncommon,347
Goggles,1,20,Prevents Dust in Eyes,Common,348
Aviator Goggles,1,25,5 Flight Magic,Uncommon,348
Rubber Boots,1,25,5 Electric/Cold Resist,Common,348
Sun Glasses,1,25,"1 CHA, Softens Light/Flashbangs",Common,348
Tribal Beads,0.5,25,2 Shamanism,Uncommon,349
Cursed Amulet,1,50,"5 Shamanism, -5 Max Karma",Rare,349
Authority Glasses,1,100,"1 CHA, 5 Bluff/Intim. Sunglasses",Uncommon,349
Dorky Glasses,1,100,"1 INT, -1 CHA",Uncommon,349
Voodoo Doll,2,100,A whole bunch! See Page Num,Rare,350
Wing Shields,5,100,Shields... Wings?,Rare,350
Golden Pocket Watch,0.5,150,5 Nego/Seduce. Tells time!,Extremely Rare,350
Magic Amplifier Tome,5,500,"5 Magic, 5 Lore, See Page Num",Extremely Rare,350
Ragged Cloak,1,25,A dirty old cloak,Common,351
Leather Cloak,3,50,A slightly less dirty old cloak,Common,351
Equine Hide Cloak,5,75,You Monster! See Page Num,Exotic,351
Mesh-Weave Cloak,5,75,A nice cloak,Uncommon,352
Cold Weather Cloak,5,100,20 Cold Resist,Common,352
Electrician's Cloak,5,100,20 Lightning Resist,Uncommon,352
Golden Gecko Cloak,5,100,20 Rad Resist,Uncommon,352
Green Gecko Cloak,5,100,20 Poison Resist,Uncommon,353
Royal Fire Department Cloak,5,100,20 Fire Resist,Rare,353
CMC Cloak,2,250,2 Crit Chance to any 1 skill,Uncommon,353
Dress Cape,0.5,250,1 CHA,Rare,353
MOP Environment Cloak,5,250,20 ALL Resist,Rare,354
Enchanted Cloak,2,500,Does a whole bunch! See Page Num,Rare,354
Royal Grand Cloak,8,1500,"1 CHA, 5 Speech, 1 Disposition",Extremely Rare,354
Zebra Stealth Cloak,5,1500,"5 Lockpick, Free Spells! See Page Num",Extremely Rare,354
Zebra Remnants Stealth Cloak,10,2500,"Some DT, Free Spells! See Page Num",Exotic,355
Slave Outfit,1,1,"Eesh, -1 CHA, -1 LCK. Discrimated",Common,356
Pre-War Outfit,2,10,Shirts and Pants baby,Common,356
Socks,1,10,"1 Nego/Seduce, Kinky.",Common,356
Bathrobe,3,15,"5 Cold Resist, Kinky.",Rare,357
Robes,2,15,5 Arcane Magic,Uncommon,357
Leather Vest,2,20,5 Firearms,Rare,357
Bathing Suit,N/A,25,"10% Swim Speed, Kinky.",Uncommon,357
Engineer Jumpsuit,2,25,5 Repair/Mech,Uncommon,358
Farmworker Outfit,3,25,Ignore 10 penalties with agriculture.,Common,358
Leather Apron,2,25,"2 A/S/T, Repair/Mech, Melee. ",Common,358
Pajamas,1,25,5 Nego/Seduce,Common,358
Pre-War Businesswear,2,25,5 Nego/Seduce/Bluff/Intim. NOTICABLE,Uncommon,359
Scientist Lab Coat,2,25,A whole bunch! See Page Num,Rare,359
Sexy Sleepwear,2,25,"1 CHA, 5 Seduce/Bluff. NOTICEABLE",Uncommon,359
Stable Jumpsuit,1,25,A whole bunch! See Page Num,Exotic,359
(Title) Jumpsuit,1,25,5 to any one non-combat skill.,Uncommon,360
Trader Outfit,2,25,5 Negotiation. NOTICEABLE,Common,360
Caravan Outfit,2,50,1 Disposition to town guards.,Common,360
Flight Suit,2,50,10 Cold/Lightning Resist while flying.,Uncommon,360
Fur Trapper's Outfit,4,50,5 A/S/T. Is Camouflaged,Common,361
Ganger Outfit,2,50,5 Unarm or 10 Bluff/Intim at GM's Will,Rare,361
Leather Jacket,5,50,5 Melee or Firearms. Kinky,Common,361
Merc Outfit,2,50,5 Firearms/MEW,Uncommon,361
